"rank","year","artist","first_artist","track_billboard","track_spotify","track_number","disc_number","album_name","album_type","artist_id","track_id","album_release_date","album_release_year","duration_ms","danceability","energy","key","key_name","key_mode","mode","mode_name","time_signature","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","lyrics"
"1","2012","josh turner","josh turner","time is love","time is love",3,1,"Punching Bag","album","7vCtweS8UVAXTyau2j0rDT","2rg3yLJKN5Yl4JCHHkMgeC","2012-01-01",2012,200373,0.663,0.814,2,"D","D major",1,"major",4,-4.987,0.0466,0.0653,0.000252,0.0823,0.547,111.97,"i know i gotta put in the hours make the money while the sunlight shines but anything i gotta get done it can get done some other time time is love, gotta run love to hang longer but i got someone who waits waits for me and right now she's where i need to be time is love, gotta run i only get so many minutes don't wanna spend 'em all on the clock in the time that we spent talking how many kisses have i lost? time is love, gotta run love to hang longer but i got someone who waits waits for me and right now she's where i need to be time is love, gotta run gotta fly fly before one more moment gets by... time is love, gotta run love to hang longer but i got someone who waits waits for me and right now she's where i need to be time is love, gotta run love to hang longer but i got someone who waits waits for me and right now she's where i need to be time is love, gotta run time is love, gotta run..."
"1","2013","florida georgia line","florida georgia line","cruise","cruise",1,1,"Here's To The Good Times","album","3b8QkneNDz4JHKKKlLgYZg","1aS5oaBNG6wsf186ZZMCzX","2012",2012,208960,0.457,0.948,10,"A#","A# major",1,"major",4,-3.364,0.0354,0.0191,0,0.0536,0.878,148,"baby, you a song you make me wanna roll my windows down and cruise hey baby yeah, when i first saw that bikini top on her she's poppin' right out of the south georgia water thought, ""oh, good lord, she had them long tanned legs"" couldn't help myself, so i walked up and said baby, you a song you make me wanna roll my windows down and cruise down a back road blowin' stop signs through the middle every little farm town with you in this brand new chevy with a lift kit would look a hell of a lot better with you up in it so baby, you a song you make me wanna roll my windows down and cruise she was sippin' on southern and singin' marshall tucker we were fallin' in love in the sweet heart of summer she hopped right up into the cab of my truck and said ""fire it up, let's go get this thing stuck"" baby, you a song you make me wanna roll my windows down and cruise down a back road blowin' stop signs through the middle every little farm town with you in this brand new chevy with a lift kit would look a hell of a lot better with you up in it so baby, you a song you make me wanna roll my windows down and cruise when that summer sun fell to its knees i looked at her and she looked at me and i turned on those kc lights and drove all night because it felt so right, her and i, man, we felt so right i put it in park and grabbed my guitar and strummed a couple chords and sang from the heart girl, you sure got the beat in my chest bumpin' hell, i can't get you out of my head baby, you a song you make me wanna roll my windows down and cruise down a back road blowin' stop signs through the middle every little farm town with you baby, you a song you make me wanna roll my windows down and cruise down a back road blowin' stop signs through the middle every little farm town with you in this brand new chevy with a lift kit would look a hell of a lot better with you up in it (come on) so baby, you a song you make me wanna roll my windows down and cruise come on, girl get those windows down and cruise aww, yeah"
"1","2014","florida georgia line featuring luke bryan","florida georgia line","this is how we roll","this is how we roll",12,1,"Here's To The Good Times...This Is How We Roll","album","3b8QkneNDz4JHKKKlLgYZg","2iT8p5HHGZoIgFME97V1fd","2013-01-01",2013,220906,0.555,0.931,8,"G#","G# major",1,"major",4,-2.969,0.0367,0.016,0,0.405,0.723,132.085,"the mixtapes got a little hank, little drake a little somethin' bumpin', thumb thumpin' on the wheel right the mix in our drinks, a little stronger than you think so get a grip, take a sip of that feel right trucks jacked up, flat bills flipped back yeah, you can find us where the party's at this is how we roll, whoa, whoa we hangin' 'round, singin' down everything on the radio whoa, whoa we light it up with our hands up this is how we roll, this is how we do we're burning down the night, shootin' bullets at the moon, baby this is how we roll, whoa, whoa yeah, baby, this is how we roll we rollin' into town with nothin' else to do we take another lap around yeah, holla at your boy if you need a ride if you roll with me, yeah, you know we rollin' high up on them 37 nittos, windows tinted, hard to see though how fresh my baby is in the shotgun seat oh them kisses are for me though, automatic like a free throw this life i live, it might not be for you, but it's for me though (let's roll!) this is how we roll, whoa, whoa we hangin' 'round, singin' down everything on the radio whoa, whoa we light it up with our hands up this is how we roll, this is how we do when the world turns ugly, i just turn and look at you, baby this is how we roll, whoa na and we gonna sing it to 'em yeah, we're proud to be young we stick to our guns we love who we love and we wanna have fun yeah, we cuss on them mondays and pray on them sundays pass it around and we dream about one day 'cause this is how we roll... (come on, yall) we hangin' 'round, singin' out everything on the radio, whoa, whoa(get your hands up, get your hands up, get your hands up) we light it up with our hands up (aww, yeah) this is how we roll, this is how we ride we slangin' up the mud, cuttin' through the country side, baby this is how we roll, whoa, whoa yeah, this is how we roll (this is how we roll) (yeah, baby, yeah, we'll be, lets go)(yeah, this is how we roll) this how we roll this is how we do we burnin' down the night, shootin' bullets at the moon (aww, yeah) baby, this is how we roll, whoa, whoa (bk, tyler)(one more time boys, let's go) yeah, this is how we roll (this is how we roll, whoa, whoa)"
"1","2015","sam hunt","sam hunt","take your time","take your time",1,1,"Montevallo","album","2kucQ9jQwuD8jWdtR9Ef38","54JIuEuTnL0Al2LHCU9pdL","2014-10-27",2014,243706,0.558,0.719,11,"B","B major",1,"major",4,-5.603,0.0419,0.101,0,0.212,0.483,158.031,"i don't know if you were looking at me or not you probably smile like that all the time and i don't mean to bother you but i couldn't just walk by and not say hi and i know your name 'cause everybody in here knows your name and you're not looking for anything right now so i don't wanna come on strong don't get me wrong your eyes are so intimidating my heart is pounding but it's just a conversation no girl, i'm not wasted you don't know me i don't know you but i want to i don't wanna steal your freedom i don't wanna change your mind i don't have to make you love me i just want to take your time i don't wanna wreck your friday i ain't gonna waste my lines i don't have to take your heart i just wanna take your time and i know it starts with hello and the next thing you know you're try to be nice and some guys getting too close trying to pick you up trying to get you drunk and i'm sure one of your friends is about to come over here cause she's supposed to save you from random guys that talk too much and wanna stay too long it's the same old song and dance but i think you know it well you could've rolled your eyes told me to go to hell could've walked away but you're still here and i'm still here come on let's see where it goes i don't wanna steal your freedom i don't wanna change your mind i don't have to make you love me i just wanna take your time i don't have to meet your mother we don't have to cross that line i don't wanna steal your covers i just wanna take your time i don't wanna go home with you i just wanna be alone with you i don't wanna steal your freedom i don't wanna change your mind i don't have to make you love me i just wanna take your time i don't wanna blow your phone up i just wanna blow your mind i don't have to take your heart i just wanna take your time no, i ain't gotta call you baby and i ain't gotta call you mine i don't have to take your heart i just wanna take your time"
"1","2016","florida georgia line","florida georgia line","holy","holy",4,1,"Dig Your Roots","album","3b8QkneNDz4JHKKKlLgYZg","0BCy325UZyR9z0t0uxwn2N","2016-08-26",2016,194186,0.523,0.666,7,"G","G minor",0,"minor",4,-4.081,0.0327,0.401,0,0.0728,0.564,78.077,"when the sun had left and the winter came and the sky fall to only bring the rain i sat in darkness all broken-hearted i couldn't find a day i didn't feel alone i never meant to cry, started losin' hope but somehow, baby you broke through and saved me you're an angel, tell me you're never leavin' 'cause you're the first thing i know i can believe in you're holy, holy holy, holy i'm high on lovin' you high on lovin' you you're holy, holy holy, holy i'm high on lovin' you high on lovin' you you made the brightest days from the darkest nights you're the river bank where i was baptized cleansed from the demons that were killin' my freedom let me lay you down, give me to ya get you singin', babe, hallelujah we'll be touchin' we'll be touchin' heaven you're an angel, tell me you're never leavin' 'cause you're the first thing i know i can believe in you're holy, holy holy, holy i'm high on lovin' you high on lovin' you you're holy, holy holy, holy i'm high on lovin' you high on lovin' you i don't need the stars 'cause you shine for me like fire in my veins, you're my ecstasy you're my ecstasy you're holy, holy holy, holy i'm high on lovin' you high on lovin' you you're holy, holy holy, holy i'm high on lovin' you high on lovin' you you're the healin' hands where it used to hurt you're my savin' grace, you're my kind of church you're holy"
"1","2017","sam hunt","sam hunt","body like a back road","body like a back road",1,1,"Body Like A Back Road","single","2kucQ9jQwuD8jWdtR9Ef38","7mldq42yDuxiUNn08nvzHO","2017-02-01",2017,165386,0.732,0.458,5,"F","F major",1,"major",4,-7.225,0.0311,0.447,0,0.136,0.661,98.938,"got a girl from the southside, got braids in her hair first time i seen her walk by, man i 'bout fell up out my chair had to get her number, it took me like six weeks now me and her go way back like cadillac seats body like a back road, drivin' with my eyes closed i know every curve like the back of my hand doin' fifteen in a thirty, i ain't in no hurry i'ma take it slow just as fast as i can the way she fit in them blue jeans, she don't need no belt but i can turn them inside out, i don't need no help got hips like honey, so thick and so sweet, man and ain't no curves like hers on them downtown streets body like a back road, drivin' with my eyes closed i know every curve like the back of my hand doin' fifteen in a thirty, i ain't in no hurry i'ma take it slow just as fast as i can we're out here in the boondocks with the breeze and the birds tangled up in the tall grass with my lips on hers on a highway to heaven, headed south of her smile, mmm get there when we get there, every inch is a mile body like a back road, drivin' with my eyes closed i know every curve like the back of my hand doin' fifteen in a thirty, i ain't in no hurry i'ma take it slow just as fast as i can i'ma take it slow just as fast as i can (body like a back road, drivin' with my eyes closed) got braids in her hair (i know every curve like the back of my hand)"
"1","2018","bebe rexha  florida georgia line","bebe rexha","meant to be","meant to be  acoustic",1,1,"Meant to Be (Acoustic)","single","64M6ah0SkkRsnPGtGiRAbb","7bu8i7HwACY0m1H5lXFSpw","2018-04-06",2018,158279,0.59,0.337,9,"A","A major",1,"major",5,-8.256,0.089,0.726,0,0.161,0.233,98.885,"baby, lay on back and relax kick your pretty feet up on my dash no need to go nowhere fast let's enjoy right here where we at who knows where this road is supposed to lead? we got nothing, but time as long as you're right here next to me everything's gonna be alright if it's meant to be, it'll be, it'll be baby, just let it be if it's meant to be, it'll be, it'll be baby, just let it be so won't you ride with me, ride with me? see where this thing goes if it's meant to be, it'll be, it'll be baby, if it's meant to be i don't mean to be so uptight but my heart's been hurt a couple times by a couple guys that didn't treat me right i ain't gon' lie, ain't gon' lie'cause i'm tired of the fake love show me what you're made of boy, make me believe whoa, hold up girl, don't you know you're beautiful? and it's easy to see if it's meant to be, it'll be, it'll be baby, just let it be if it's meant to be, it'll be, it'll be baby, just let it be so won't you ride with me, ride with me? see where this thing goes if it's meant to be, it'll be, it'll be baby, if it's meant to be so c'mon, ride with me, ride with me see where this thing goes so c'mon, ride with me, ride with me baby, if it's meant to be maybe we do maybe we don't maybe we will maybe we won't but if it's meant to be, it'll be, it'll be baby, just let it be (sing it, bebe) if it's meant to be, it'll be, it'll be (c'mon) baby, just let it be (let's go) so won't you ride with me, ride with me? see where this thing goes (come for a ride) if it's meant to be, it'll be, it'll be baby, if it's meant to be (yeah) if it's meant to be, it'll be, it'll be baby, if it's meant to be if it's meant to be, it'll be, it'll be baby, if it's meant to be hmm"
"1","2019","morgan wallen","morgan wallen","whiskey glasses","whiskey glasses",4,1,"If I Know Me","album","4oUHIQIBe0LHzYfvXNW4QM","6foY66mWZN0pSRjZ408c00","2018-04-27",2018,234346,0.614,0.68,6,"F#","F# major",1,"major",4,-4.58,0.0289,0.369,1.84e-06,0.115,0.707,149.959,"poor me, pour me another drink 'cause i don't wanna feel a thing no more, hell nah i just wanna sip 'til the pain wears off poor me, pour me another round line 'em up and knock 'em down two more let's go 'cause i ain't never hurt like this before don't wanna think about her or wear a ring without her don't wanna hit the karaoke bar can't sing without her so make them drinks strong 'cause brother she's gone and if i'm ever gonna move on i'ma need some whiskey glasses 'cause i don't wanna see the truth she's probably making out on the couch right now with someone new yeah, i'ma need some whiskey glasses if i'm gonna make it through if i'ma be single i'ma need a double shot of that heartbreak proof and see the world through whiskey glasses (ain't nothing else to do, but sip around the truth) and see the world through whiskey glasses(i need a better view, where i don't drink to you) last call i swear this will be my last call now i ain't drunk dialing no more at 3 am mr. bartender hittin' me again don't wanna think about her or wear a ring without her don't wanna hit the karaoke bar can't sing without her so make them drinks strong 'cause brother she's gone and if i'm ever gonna move on i'ma need some whiskey glasses 'cause i don't wanna see the truth she's probably making out on the couch right now with someone new yeah, i'ma need some whiskey glasses if i'm gonna make it through if i'ma be single i'ma need a double shot of that heartbreak proof and see the world through whiskey glasses (ain't nothing else to do, but sip around the truth) oh, see the world through whiskey glasses (i need a better view, where i don't drink to you) line 'em up, line 'em up, line 'em up, line 'em up knock 'em back, knock 'em back, knock 'em back, knock 'em back fill 'em up, fill 'em up, fill 'em up, fill 'em up 'cause if she ain't ever coming back line 'em up, line 'em up, line 'em up, line 'em up knock 'em back, knock 'em back, knock 'em back, knock 'em back fill 'em up, fill 'em up, fill 'em up, fill 'em up 'cause if she ain't ever coming back i'ma need some whiskey glasses 'cause i don't wanna see the truth she's probably making out on the couch right now with someone new yeah, i'ma need some whiskey glasses if i'm gonna make it through if i'ma be single i'ma need a double shot of that heartbreak proof and see the world through whiskey glasses (ain't nothing else to do, but sip around the truth) oh, see the world through whiskey glasses (i need a better view, where i don't drink to you) yeah (ain't nothing else to do, but sip around the truth) and see the world through whiskey glasses (i need a better view, where i don't drink to you) yeah"
"1","2020","gabby barrett","gabby barrett","i hope","i hope",2,1,"The Good Ones","single","6Iz3eq2aQGFf7TbGT2iahL","73lFUNEadnEIR3i2uEJNO1","2019-07-12",2019,210772,0.466,0.536,6,"F#","F# major",1,"major",4,-6.227,0.0429,0.0951,0,0.114,0.377,75.998,"i, i hope she makes you smile the way you made me smile on the other end of a phone in the middle of a highway driving alone oh baby, i, i hope you hear a song that makes you sing along and gets you thinking 'bout her then the last several miles turn into a blur, yeah i hope you're both feelin' sparks by the end of the drive i hope you know she's the one by the end of the night i hope you never ever felt more free tell your friends that you're so happy i hope she comes along and wrecks every one of your plans i hope you spend your last dime to put a rock on her hand i hope she's wilder than your wildest dreams she's everything you're ever gonna need and then i hope she cheats like you did on me and then i hope she cheats like you did on me yeah, babe, i hope she shows up in a 2 am pic from her friend hanging on to a guy and you just ain't him i hope you stay up all night all alone, waitin' by the phone and then she calls and baby, i, i hope you work it out forgive and just about forget and take her on a first date again and when you lean in for a kiss i hope you're both feelin' sparks by the end of the drive i hope you know she's the one by the end of the night i hope you never ever felt more free tell your friends that you're so happy i hope she comes along and wrecks every one of your plans i hope you spend your last dime to put a rock on her hand i hope she's wilder than your wildest dreams she's everything you're ever gonna need and then i hope she cheats like you did on me and then i hope she cheats like you did on me i hope what goes comes all the way around i hope she makes you feel the same way about her that i feel about you right now i hope you're both feelin' sparks by the end of the drive i hope you know she's the one by the end of the night i hope you never ever felt more free tell your friends that you're so happy i hope she comes along and wrecks every one of your plans i hope you spend your last dime to put a rock on her hand i hope she's wilder than your wildest dreams she's everything you're ever gonna need and then i hope she cheats like you did on me and then i hope she cheats like you did on me like you did on me"
"10","2002","joe nichols","joe nichols","the impossible","the impossible",1,1,"Man With A Memory","album","4aJTB79uwT4sP0Nb8QGWHc","5vyVckEUyIogu3Fq7J3lBR","2002-01-01",2002,245573,0.617,0.504,9,"A","A major",1,"major",4,-6.702,0.0295,0.354,3.1e-06,0.0875,0.197,77.988,"my dad chased monsters from the dark he checked underneath my bed and he could lift me with one arm way up over top his head he could loosen rusty bolts with a quick turn of his wrench he pulled splinters from his hand never even flinched in thirteen years i'd never seen him cry but the day that grandpa died, i realized unsinkable ships sink unbreakable walls break sometimes the things you think would never happen happen just like that unbendable steel bends if the fury of the wind is unstoppable i've learned to never underestimate the impossible then there was my junior year billy had a brand new car it was late, the road was wet i guess the curve was just too sharp i walked away without a scratch they brought the helicopter in and billy couldn't feel his legs said he'd never walk again but billy said he would and his mom and daddy prayed and the day we graduated, he stood up to say unsinkable ships sink unbreakable walls break sometimes the things you think would never happen happen just like that unbendable steel bends if the fury of the wind is unstoppable i've learned to never underestimate the impossible so don't tell me that it's over don't give up on you and me 'cause there's no such thing as hopeless if you believe unsinkable ships sink unbreakable walls break sometimes the things you think would never happen happen just like that unbendable steel bends if the fury of the wind is unstoppable i've learned to never underestimate the impossible"
