"Rank","Year","Artist","artist_name","Track","track_name","track_number","disc_number","album_name","album_type","artist_id","track_id","album_release_date","album_release_year","duration_ms","danceability","energy","key","key_name","key_mode","mode","mode_name","time_signature","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
4,2010,"josh turner","josh turner","all over me","all over me",8,1,"Haywire","album","7vCtweS8UVAXTyau2j0rDT","1s8DkdE3uOWrGU7vonKrbK","2010",2010,199493,0.546,0.776,1,"C#","C# major",1,"major",4,-7.359,0.0352,0.403,0.00633,0.193,0.888,169.847
4,2011,"chris young","chris young","tomorrow","tomorrow",3,1,"Neon","album","4BYxqVkZyFjtik7crYLg5Q","1qjl8UJtWTHrk4SFpwftSN","2011-07-11",2011,220173,0.441,0.644,11,"B","B major",1,"major",4,-5.774,0.0363,0.56,0,0.109,0.349,141.733
4,2012,"dustin lynch","dustin lynch","cowboys and angels","cowboys and angels",1,1,"Cowboys and Angels","single","1dID9zgn0OV0Y8ud7Mh2tS","1s8FqMHkbhL3YyXHIAtwSq","2012-01-17",2012,227720,0.355,0.55,10,"A#","A# major",1,"major",4,-5.772,0.0285,0.245,3.2e-05,0.0979,0.26,73.842
4,2013,"luke bryan","luke bryan","crash my party","crash my party",3,1,"Crash My Party (Deluxe Version)","album","0BvkDsjIUla7X0k6CSWh1I","4Kt7rQbpxHNPCwc1tMX5yC","2013-01-01",2013,234760,0.524,0.816,7,"G","G major",1,"major",4,-4.008,0.0421,0.028,0,0.218,0.414,144.022
4,2014,"brantley gilbert","brantley gilbert","bottoms up","bottoms up",3,1,"Just As I Am","album","5q8HGNo0BjLWaTAhRtbwxa","0HZUp8fm9fh1Mitqx4CIOr","2014-01-01",2014,220200,0.474,0.857,7,"G","G major",1,"major",4,-5.734,0.0435,0.113,0,0.134,0.545,170.006
4,2015,"luke bryan","luke bryan","kick the dust up","kick the dust up",1,1,"Kill The Lights (Deluxe)","album","0BvkDsjIUla7X0k6CSWh1I","5g15o2Sm55Hn9ShK5yEXgp","2015-08-07",2015,190586,0.597,0.86,1,"C#","C# major",1,"major",4,-2.315,0.0461,0.196,0,0.087,0.818,172.064
4,2016,"dierks bentley","dierks bentley","somewhere on a beach","somewhere on a beach",5,1,"Black","album","7x8nK0m0cP2ksQf0mjWdPS","5CG9Ps5ynNjpKJHmwc95pa","2016-06-10",2016,197120,0.569,0.638,7,"G","G major",1,"major",4,-6.557,0.0291,0.000547,0,0.0848,0.438,144.042
4,2017,"kane brown featuring lauren alaina","kane brown","what ifs","what ifs feat lauren alaina",2,1,"Kane Brown","album","3oSJ7TBVCWMDMiYjXNiCKE","7zVCrzzEJU7u24sbJPXA5W","2016-12-02",2016,188253,0.612,0.799,10,"A#","A# major",1,"major",4,-4.603,0.0275,0.00898,0,0.172,0.687,125.976
4,2018,"jason aldean","jason aldean","you make it easy","you make it easy",1,1,"You Make It Easy","single","3FfvYsEGaIb52QPXhg4DcH","2xO6cHoM6Hi3TbBsPgXJHf","2018-01-26",2018,196800,0.375,0.574,7,"G","G major",1,"major",3,-5.305,0.0315,0.143,0,0.11,0.406,132.025
4,2019,"luke combs","luke combs","beautiful crazy","beautiful crazy",15,1,"This One's for You Too (Deluxe Edition)","album","718COspgdWOnwOFpJHRZHS","2rxQMGVafnNaRaXlRMWPde","2018-06-01",2018,193200,0.551,0.402,11,"B","B major",1,"major",4,-7.431,0.0262,0.676,0,0.0928,0.382,103.313
4,2020,"morgan wallen","morgan wallen","chasin you","chasin you",9,1,"If I Know Me","album","4oUHIQIBe0LHzYfvXNW4QM","5MwynWK9s4hlyKHqhkNn4A","2018-04-27",2018,205453,0.631,0.591,7,"G","G major",1,"major",4,-5.785,0.0277,0.657,0,0.11,0.489,97.074
5,2002,"darryl worley","darryl worley","i miss my friend","i miss my friend",3,1,"I Miss My Friend","album","4zIBkSJcqRp4ADuFI94WvO","0qnoS5hMZMphvKWi0D2LQh","2002-01-01",2002,242927,0.554,0.474,4,"E","E major",1,"major",4,-7.843,0.025,0.155,1.67e-05,0.0859,0.41,139.832
5,2003,"brooks  dunn","brooks  dunn","red dirt road","red dirt road",5,1,"Red Dirt Road","album","0XKOBt59crntr7HQXXO8Yz","3EZzghqykkfOB0Z8d0kTSt","2003-07-15",2003,260360,0.555,0.868,5,"F","F major",1,"major",4,-3.798,0.0403,0.0664,0.000117,0.116,0.479,136.12
5,2004,"john michael montgomery","john michael montgomery","letters from home","letters from home",1,1,"Letters From Home","single","7mPcfx7PhnBh6n4HMCd61A","1TrV6DCKXY09ANWscYmSX8","2004-02-24",2004,267533,0.644,0.626,0,"C","C major",1,"major",4,-7.243,0.0258,0.367,5.78e-06,0.155,0.388,128.029
5,2005,"rascal flatts","rascal flatts","fast cars and freedom","fast cars and freedom",5,1,"Feels Like Today","album","0a1gHP0HAqALbEyxaD5Ngn","31QnELbHialSTL7GB04FRn","2004",2004,263053,0.618,0.833,3,"D#","D# minor",0,"minor",4,-4.821,0.0305,0.0146,1.32e-05,0.109,0.616,117.963
5,2006,"carrie underwood","carrie underwood","jesus take the wheel","jesus take the wheel",4,1,"Some Hearts","album","4xFUf1FHVy696Q1JQZMTRj","3lec3CzDPAxsZokPph5w87","2005-11-14",2005,226493,0.359,0.518,2,"D","D major",1,"major",4,-3.537,0.0302,0.665,0,0.106,0.135,76.572
5,2007,"rascal flatts","rascal flatts","take me there","take me there",1,1,"Still Feels Good","album","0a1gHP0HAqALbEyxaD5Ngn","6xRMwzjtb7bEbDFYP97jQB","2007-01-01",2007,266586,0.499,0.857,4,"E","E major",1,"major",4,-4.501,0.0374,0.00476,0,0.102,0.324,83.977
5,2008,"blake shelton","blake shelton","home","home",14,1,"Pure BS (Deluxe Edition)","album","1UTPBmNbXNTittyMJrNkvw","6Pa1axEiyCtIupB1NVOrwd","2007-05-01",2007,230453,0.38,0.443,7,"G","G major",1,"major",4,-6.972,0.0268,0.479,3.03e-06,0.11,0.281,63.122
5,2009,"george strait","george strait","river of love","river of love",3,1,"Troubadour","album","5vngPClqofybhPERIqQMYd","1IK0vZZmidhSeiQUYkYkAd","2008-01-01",2008,195146,0.505,0.807,7,"G","G major",1,"major",4,-6.908,0.042,0.641,0.00939,0.204,0.927,79.528
